block,image,condition,direction,response,switch,switchType
practice,left_fish.jpg,null,left,left,NA,NA
practice,right_fish.jpg,null,right,right,NA,NA
practice,bowl.jpg,null,,NA,NA,NA
practice,right_fish.jpg,null,right,right,NA,NA
practice,bowl.jpg,null,,NA,NA,NA
practice,left_fish.jpg,null,left,left,NA,NA
practice,con_left_practice.jpg,congruent,left,left,NA,NA
practice,in_left_practice.jpg,incongruent,left,left,1,ci
practice,con_right_practice.jpg,congruent,right,right,1,ic
practice,nogo_right_practice.jpg,nogo,right,NA,1,cx
practice,in_right_practice.jpg,incongruent,right,right,1,xi
practice,nogo_left_practice.jpg,nogo,left,NA,1,ix
test,nogo_left.jpg,nogo,left,NA,NA,NA
test,con_right.jpg,congruent,right,right,1,xc
test,con_right.jpg,congruent,right,right,0,cc
test,in_right.jpg,incongruent,right,right,1,ci
test,in_left.jpg,incongruent,left,left,0,ii
test,con_left.jpg,congruent,left,left,1,ic
test,con_right.jpg,congruent,right,right,0,cc
test,nogo_right.jpg,nogo,right,NA,1,cx
test,nogo_left.jpg,nogo,left,NA,0,xx
test,con_left.jpg,congruent,left,left,1,xc
test,con_left.jpg,congruent,left,left,0,cc
test,nogo_right.jpg,nogo,right,NA,1,cx
test,nogo_left.jpg,nogo,left,NA,0,xx
test,in_right.jpg,incongruent,right,right,1,xi
test,in_right.jpg,incongruent,right,right,0,ii
test,nogo_left.jpg,nogo,left,NA,1,ix
test,nogo_left.jpg,nogo,left,NA,0,xx
test,in_left.jpg,incongruent,left,left,1,xi
test,in_left.jpg,incongruent,left,left,0,ii
test,con_right.jpg,congruent,right,right,1,ic
test,con_left.jpg,congruent,left,left,0,cc
test,in_right.jpg,incongruent,right,right,1,ci
test,in_right.jpg,incongruent,right,right,0,ii
test,nogo_right.jpg,nogo,right,NA,1,ix
test,nogo_left.jpg,nogo,left,NA,0,xx
test,con_right.jpg,congruent,right,right,1,xc
test,con_right.jpg,congruent,right,right,0,cc
test,nogo_right.jpg,nogo,right,NA,1,cx
test,nogo_right.jpg,nogo,right,NA,0,xx
test,in_right.jpg,incongruent,right,right,1,xi
test,in_left.jpg,incongruent,left,left,0,ii
test,con_left.jpg,congruent,left,left,1,ic
test,con_left.jpg,congruent,left,left,0,cc
test,in_left.jpg,incongruent,left,left,1,ci
test,in_left.jpg,incongruent,left,left,0,ii
test,nogo_right.jpg,nogo,right,NA,1,ix
